,dtTrade,Strike,dtExpiry,Type,Spot,Style,PBid,PAsk,IVBid,IVAsk,IVMid,QuickDelta,iRate,dRate,ATMVol,Fwd
0,2011-01-24,1290.0,2011-02-19,C,1290.59,Euro,26.0,29.8,0.19787391748889455,0.225603149081448,0.21173853328517128,0.4875416640926578,0.00687659598633076,0.03843714901220016,0.2148364159889238,1287.6918203948867
1,2011-01-24,1295.0,2011-02-19,C,1290.59,Euro,23.3,27.0,0.19498775551604988,0.22206139006325534,0.20852457278965264,0.4606880100752157,0.00687659598633076,0.03843714901220016,0.2148364159889238,1287.6918203948867
2,2011-01-24,1300.0,2011-02-19,C,1290.59,Euro,20.6,23.0,0.19098225841984048,0.20869850710239726,0.19984038276111885,0.4341148149701412,0.00687659598633076,0.03843714901220016,0.2148364159889238,1287.6918203948867
3,2011-01-24,1305.0,2011-02-19,C,1290.59,Euro,18.6,21.5,0.1910272414211452,0.212713271486588,0.20187025645386655,0.4079363279516737,0.00687659598633076,0.03843714901220016,0.2148364159889238,1287.6918203948867
4,2011-01-24,1310.0,2011-02-19,C,1290.59,Euro,16.2,19.2,0.1869041331731809,0.20979312539401448,0.19834862928359764,0.3822602893148067,0.00687659598633076,0.03843714901220016,0.2148364159889238,1287.6918203948867
5,2011-01-24,1315.0,2011-02-19,C,1290.59,Euro,14.0,17.0,0.1830182638329218,0.20653463087102564,0.19477644735197366,0.3571867161918881,0.00687659598633076,0.03843714901220016,0.2148364159889238,1287.6918203948867
6,2011-01-24,1320.0,2011-02-19,C,1290.59,Euro,12.0,15.0,0.17935701765921314,0.20369333979496584,0.19152517872708946,0.3328068747674769,0.00687659598633076,0.03843714901220016,0.2148364159889238,1287.6918203948867
7,2011-01-24,1325.0,2011-02-19,C,1290.59,Euro,10.3,12.0,0.17679241925807165,0.19128178936567067,0.18403710431187115,0.3092024524041368,0.00687659598633076,0.03843714901220016,0.2148364159889238,1287.6918203948867
8,2011-01-24,1330.0,2011-02-19,C,1290.59,Euro,9.3,11.2,0.1791345054821871,0.1959517404120828,0.18754312294713493,0.2864449371113708,0.00687659598633076,0.03843714901220016,0.2148364159889238,1287.6918203948867
9,2011-01-24,1335.0,2011-02-19,C,1290.59,Euro,7.8,9.7,0.17577092585635076,0.19358553763490008,0.18467823174562545,0.2645952059641338,0.00687659598633076,0.03843714901220016,0.2148364159889238,1287.6918203948867
